[2021-12-20 04:46:07 | info | root]: Now training of Implicit-GON is starting. We provide the parameters as the following
[2021-12-20 09:07:30 | info | root]: Epoch : 32
[2021-12-20 09:07:30 | info | root]: Train Loss : 0.0073989327
[2021-12-20 09:07:30 | info | root]: Test Loss : 0.00742911
[2021-12-20 09:16:05 | info | root]: Epoch : 33
[2021-12-20 09:16:05 | info | root]: Train Loss : 0.006935105
[2021-12-20 09:16:05 | info | root]: Test Loss : 0.0069638775
[2021-12-20 09:23:11 | info | root]: Epoch : 34
[2021-12-20 09:23:11 | info | root]: Train Loss : 0.0067625027
[2021-12-20 09:23:11 | info | root]: Test Loss : 0.00679919
[2021-12-20 09:30:16 | info | root]: Epoch : 35
[2021-12-20 09:30:16 | info | root]: Train Loss : 0.006843752
[2021-12-20 09:30:16 | info | root]: Test Loss : 0.006876073
[2021-12-20 09:37:26 | info | root]: Epoch : 36
[2021-12-20 09:37:26 | info | root]: Train Loss : 0.0070036
[2021-12-20 09:37:26 | info | root]: Test Loss : 0.007026169
[2021-12-20 09:44:35 | info | root]: Epoch : 37
[2021-12-20 09:44:35 | info | root]: Train Loss : 0.0065985257
[2021-12-20 09:44:35 | info | root]: Test Loss : 0.0066232802
[2021-12-20 09:54:34 | info | root]: Epoch : 38
[2021-12-20 09:54:34 | info | root]: Train Loss : 0.006673763
[2021-12-20 09:54:34 | info | root]: Test Loss : 0.006711925
[2021-12-20 10:01:44 | info | root]: Epoch : 39
[2021-12-20 10:01:44 | info | root]: Train Loss : 0.0067727664
[2021-12-20 10:01:44 | info | root]: Test Loss : 0.006807481
[2021-12-20 10:12:31 | info | root]: Epoch : 40
[2021-12-20 10:12:31 | info | root]: Train Loss : 0.0066528474
[2021-12-20 10:12:31 | info | root]: Test Loss : 0.006678548
[2021-12-20 10:21:07 | info | root]: Epoch : 41
[2021-12-20 10:21:07 | info | root]: Train Loss : 0.0063742585
[2021-12-20 10:21:07 | info | root]: Test Loss : 0.006397634
[2021-12-20 10:30:26 | info | root]: Epoch : 42
[2021-12-20 10:30:26 | info | root]: Train Loss : 0.0065418766
[2021-12-20 10:30:26 | info | root]: Test Loss : 0.0065744556
[2021-12-20 10:37:38 | info | root]: Epoch : 43
[2021-12-20 10:37:38 | info | root]: Train Loss : 0.006406078
[2021-12-20 10:37:38 | info | root]: Test Loss : 0.006422297
[2021-12-20 10:47:16 | info | root]: Epoch : 44
[2021-12-20 10:47:16 | info | root]: Train Loss : 0.006136222
[2021-12-20 10:47:16 | info | root]: Test Loss : 0.006136726
[2021-12-20 10:55:45 | info | root]: Epoch : 45
[2021-12-20 10:55:45 | info | root]: Train Loss : 0.0059437105
[2021-12-20 10:55:45 | info | root]: Test Loss : 0.0059800795
[2021-12-20 11:05:33 | info | root]: Epoch : 46
[2021-12-20 11:05:33 | info | root]: Train Loss : 0.006014979
[2021-12-20 11:05:33 | info | root]: Test Loss : 0.0060252678
[2021-12-20 11:12:42 | info | root]: Epoch : 47
[2021-12-20 11:12:42 | info | root]: Train Loss : 0.006043842
[2021-12-20 11:12:42 | info | root]: Test Loss : 0.006077125
[2021-12-20 11:19:54 | info | root]: Epoch : 48
[2021-12-20 11:19:54 | info | root]: Train Loss : 0.0058102147
[2021-12-20 11:19:54 | info | root]: Test Loss : 0.0058237
[2021-12-20 11:30:43 | info | root]: Epoch : 49
[2021-12-20 11:30:43 | info | root]: Train Loss : 0.0059002684
[2021-12-20 11:30:43 | info | root]: Test Loss : 0.0059088073
[2021-12-20 11:37:56 | info | root]: Epoch : 50
[2021-12-20 11:37:56 | info | root]: Train Loss : 0.0058820485
[2021-12-20 11:37:56 | info | root]: Test Loss : 0.0058877636
[2021-12-20 11:45:12 | info | root]: Epoch : 51
[2021-12-20 11:45:12 | info | root]: Train Loss : 0.0058423853
[2021-12-20 11:45:12 | info | root]: Test Loss : 0.005873296
[2021-12-20 11:52:26 | info | root]: Epoch : 52
[2021-12-20 11:52:26 | info | root]: Train Loss : 0.0058825794
[2021-12-20 11:52:26 | info | root]: Test Loss : 0.0059129773
[2021-12-20 11:59:40 | info | root]: Epoch : 53
[2021-12-20 11:59:40 | info | root]: Train Loss : 0.0055555967
[2021-12-20 11:59:40 | info | root]: Test Loss : 0.005581924
[2021-12-20 12:06:48 | info | root]: Epoch : 54
[2021-12-20 12:06:48 | info | root]: Train Loss : 0.005592741
[2021-12-20 12:06:48 | info | root]: Test Loss : 0.005625755
[2021-12-20 12:17:52 | info | root]: Epoch : 55
[2021-12-20 12:17:52 | info | root]: Train Loss : 0.005759269
[2021-12-20 12:17:52 | info | root]: Test Loss : 0.005792451
[2021-12-20 12:29:21 | info | root]: Epoch : 56
[2021-12-20 12:29:21 | info | root]: Train Loss : 0.0054662456
[2021-12-20 12:29:21 | info | root]: Test Loss : 0.0055192257
[2021-12-20 12:36:29 | info | root]: Epoch : 57
[2021-12-20 12:36:29 | info | root]: Train Loss : 0.005565493
[2021-12-20 12:36:29 | info | root]: Test Loss : 0.005588777
