[2021-12-20 04:46:31 | info | root]: Now training of Implicit-GON is starting. We provide the parameters as the following
[2021-12-20 08:52:49 | info | root]: Train Loss : 0.011758388
[2021-12-20 08:52:49 | info | root]: Test Loss : 0.011994875
[2021-12-20 09:00:19 | info | root]: Epoch : 33
[2021-12-20 09:00:19 | info | root]: Train Loss : 0.011632176
[2021-12-20 09:00:19 | info | root]: Test Loss : 0.011865858
[2021-12-20 09:10:06 | info | root]: Epoch : 34
[2021-12-20 09:10:06 | info | root]: Train Loss : 0.011140034
[2021-12-20 09:10:06 | info | root]: Test Loss : 0.011399748
[2021-12-20 09:17:49 | info | root]: Epoch : 35
[2021-12-20 09:17:49 | info | root]: Train Loss : 0.011329422
[2021-12-20 09:17:49 | info | root]: Test Loss : 0.011564736
[2021-12-20 09:24:43 | info | root]: Epoch : 36
[2021-12-20 09:24:43 | info | root]: Train Loss : 0.011188413
[2021-12-20 09:24:43 | info | root]: Test Loss : 0.011456674
[2021-12-20 09:32:15 | info | root]: Epoch : 37
[2021-12-20 09:32:15 | info | root]: Train Loss : 0.010829051
[2021-12-20 09:32:15 | info | root]: Test Loss : 0.01104387
[2021-12-20 09:39:04 | info | root]: Epoch : 38
[2021-12-20 09:39:04 | info | root]: Train Loss : 0.010841475
[2021-12-20 09:39:04 | info | root]: Test Loss : 0.011048587
[2021-12-20 09:49:31 | info | root]: Epoch : 39
[2021-12-20 09:49:31 | info | root]: Train Loss : 0.010736054
[2021-12-20 09:49:31 | info | root]: Test Loss : 0.010982951
[2021-12-20 09:58:02 | info | root]: Epoch : 40
[2021-12-20 09:58:02 | info | root]: Train Loss : 0.010953521
[2021-12-20 09:58:02 | info | root]: Test Loss : 0.011201683
[2021-12-20 10:04:54 | info | root]: Epoch : 41
[2021-12-20 10:04:54 | info | root]: Train Loss : 0.010388605
[2021-12-20 10:04:54 | info | root]: Test Loss : 0.0106347585
[2021-12-20 10:13:29 | info | root]: Epoch : 42
[2021-12-20 10:13:29 | info | root]: Train Loss : 0.010605232
[2021-12-20 10:13:29 | info | root]: Test Loss : 0.010830654
[2021-12-20 10:22:03 | info | root]: Epoch : 43
[2021-12-20 10:22:03 | info | root]: Train Loss : 0.01055234
[2021-12-20 10:22:03 | info | root]: Test Loss : 0.010780315
[2021-12-20 10:33:21 | info | root]: Epoch : 44
[2021-12-20 10:33:21 | info | root]: Train Loss : 0.010372839
[2021-12-20 10:33:21 | info | root]: Test Loss : 0.010604442
[2021-12-20 10:44:19 | info | root]: Epoch : 45
[2021-12-20 10:44:19 | info | root]: Train Loss : 0.010173324
[2021-12-20 10:44:19 | info | root]: Test Loss : 0.010397275
[2021-12-20 10:51:17 | info | root]: Epoch : 46
[2021-12-20 10:51:17 | info | root]: Train Loss : 0.010467192
[2021-12-20 10:51:17 | info | root]: Test Loss : 0.010680672
[2021-12-20 11:00:40 | info | root]: Epoch : 47
[2021-12-20 11:00:40 | info | root]: Train Loss : 0.010226567
[2021-12-20 11:00:40 | info | root]: Test Loss : 0.010457732
[2021-12-20 11:10:31 | info | root]: Epoch : 48
[2021-12-20 11:10:31 | info | root]: Train Loss : 0.010093582
